GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Married-couple family:,Margin of Error; Married-couple family:,Estimate; Married-couple family: - With own children under 18 years:,Margin of Error; Married-couple family: - With own children under 18 years:,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years only,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years only,Estimate; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Margin of Error; Married-couple family: - With own children under 18 years: - Under 6 years and 6 to 17 years,Estimate; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Margin of Error; Married-couple family: - With own children under 18 years: - 6 to 17 years only,Estimate; Married-couple family: - No own children under 18 years,Margin of Error; Married-couple family: - No own children under 18 years,Estimate; Other family:,Margin of Error; Other family:,"Estimate; Other family: - Male householder, no wife present:","Margin of Error; Other family: - Male householder, no wife present:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years:","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years:","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Male householder, no wife present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Male householder, no wife present: - No own children under 18 years","Margin of Error; Other family: - Male householder, no wife present: - No own children under 18 years","Estimate; Other family: - Female householder, no husband present:","Margin of Error; Other family: - Female householder, no husband present:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years:","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years:","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years only","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - Under 6 years and 6 to 17 years","Estimate; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Margin of Error; Other family: - Female householder, no husband present: - With own children under 18 years: - 6 to 17 years only","Estimate; Other family: - Female householder, no husband present: - No own children under 18 years","Margin of Error; Other family: - Female householder, no husband present: - No own children under 18 years"
1500000US510131001001,510131001001,"Block Group 1, Census Tract 1001, Arlington County, Virginia",337,63,315,67,185,58,33,30,13,20,139,54,130,47,22,20,0,12,0,12,0,12,0,12,0,12,0,12,22,20,12,13,0,12,0,12,12,13,10,15
1500000US510131001002,510131001002,"Block Group 2, Census Tract 1001, Arlington County, Virginia",222,41,222,41,90,36,9,15,23,23,58,33,132,48,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131001003,510131001003,"Block Group 3, Census Tract 1001, Arlington County, Virginia",222,62,193,58,141,56,58,37,18,20,65,38,52,35,29,41,0,12,0,12,0,12,0,12,0,12,0,12,29,41,0,12,0,12,0,12,0,12,29,41
1500000US510131001004,510131001004,"Block Group 4, Census Tract 1001, Arlington County, Virginia",454,81,396,78,211,63,48,37,21,22,142,58,185,63,58,34,0,12,0,12,0,12,0,12,0,12,0,12,58,34,18,20,0,12,9,15,9,14,40,26
1500000US510131002001,510131002001,"Block Group 1, Census Tract 1002, Arlington County, Virginia",229,68,229,68,58,39,19,26,7,12,32,27,171,71,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131002002,510131002002,"Block Group 2, Census Tract 1002, Arlington County, Virginia",444,77,400,83,248,71,93,50,6,11,149,69,152,72,44,43,31,37,15,25,0,12,0,12,15,25,16,25,13,19,0,12,0,12,0,12,0,12,13,19
1500000US510131002003,510131002003,"Block Group 3, Census Tract 1002, Arlington County, Virginia",200,54,200,54,121,51,0,12,42,42,79,51,79,66,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131002004,510131002004,"Block Group 4, Census Tract 1002, Arlington County, Virginia",278,56,251,60,134,55,0,12,21,23,113,63,117,58,27,36,0,12,0,12,0,12,0,12,0,12,0,12,27,36,0,12,0,12,0,12,0,12,27,36
1500000US510131002005,510131002005,"Block Group 5, Census Tract 1002, Arlington County, Virginia",296,70,240,72,165,68,85,64,46,36,34,30,75,44,56,45,56,45,56,45,0,12,14,23,42,46,0,12,0,12,0,12,0,12,0,12,0,12,0,12
1500000US510131002006,510131002006,"Block Group 6, Census Tract 1002, Arlington County, Virginia",282,78,232,77,148,65,49,47,31,29,68,52,84,59,50,43,8,13,8,13,0,12,0,12,8,13,0,12,42,40,11,18,0,12,11,18,0,12,31,34
