GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Owner occupied:,Margin of Error; Owner occupied:,Estimate; Owner occupied: - 1-person household,Margin of Error; Owner occupied: - 1-person household,Estimate; Owner occupied: - 2-person household,Margin of Error; Owner occupied: - 2-person household,Estimate; Owner occupied: - 3-person household,Margin of Error; Owner occupied: - 3-person household,Estimate; Owner occupied: - 4-person household,Margin of Error; Owner occupied: - 4-person household,Estimate; Owner occupied: - 5-person household,Margin of Error; Owner occupied: - 5-person household,Estimate; Owner occupied: - 6-person household,Margin of Error; Owner occupied: - 6-person household,Estimate; Owner occupied: - 7-or-more person household,Margin of Error; Owner occupied: - 7-or-more person household,Estimate; Renter occupied:,Margin of Error; Renter occupied:,Estimate; Renter occupied: - 1-person household,Margin of Error; Renter occupied: - 1-person household,Estimate; Renter occupied: - 2-person household,Margin of Error; Renter occupied: - 2-person household,Estimate; Renter occupied: - 3-person household,Margin of Error; Renter occupied: - 3-person household,Estimate; Renter occupied: - 4-person household,Margin of Error; Renter occupied: - 4-person household,Estimate; Renter occupied: - 5-person household,Margin of Error; Renter occupied: - 5-person household,Estimate; Renter occupied: - 6-person household,Margin of Error; Renter occupied: - 6-person household,Estimate; Renter occupied: - 7-or-more person household,Margin of Error; Renter occupied: - 7-or-more person household
1500000US510131010002,510131010002,"Block Group 2, Census Tract 1010, Arlington County, Virginia",232,53,209,56,18,20,32,31,78,48,71,43,10,17,0,12,0,12,23,26,8,15,0,12,2,7,13,21,0,12,0,12,0,12
1500000US510131010003,510131010003,"Block Group 3, Census Tract 1010, Arlington County, Virginia",362,76,107,43,20,22,39,27,16,21,32,29,0,12,0,12,0,12,255,65,156,58,65,51,22,24,12,20,0,12,0,12,0,12
1500000US510131010004,510131010004,"Block Group 4, Census Tract 1010, Arlington County, Virginia",276,52,254,49,37,32,105,45,71,47,41,34,0,12,0,12,0,12,22,21,0,12,9,14,7,12,0,12,6,10,0,12,0,12
1500000US510131011001,510131011001,"Block Group 1, Census Tract 1011, Arlington County, Virginia",315,88,301,87,30,36,59,39,55,48,127,72,30,48,0,12,0,12,14,23,0,12,0,12,0,12,14,23,0,12,0,12,0,12
1500000US510131011002,510131011002,"Block Group 2, Census Tract 1011, Arlington County, Virginia",388,82,323,89,96,54,122,82,43,34,62,49,0,12,0,12,0,12,65,43,0,12,46,31,0,12,19,28,0,12,0,12,0,12
1500000US510131011003,510131011003,"Block Group 3, Census Tract 1011, Arlington County, Virginia",515,83,469,92,68,51,155,71,113,69,101,68,16,25,16,25,0,12,46,46,0,12,20,32,15,24,11,17,0,12,0,12,0,12
1500000US510131011004,510131011004,"Block Group 4, Census Tract 1011, Arlington County, Virginia",570,97,377,94,221,99,118,60,19,30,0,12,19,27,0,12,0,12,193,83,24,27,113,60,25,23,31,49,0,12,0,12,0,12
1500000US510131011005,510131011005,"Block Group 5, Census Tract 1011, Arlington County, Virginia",343,84,255,79,48,38,82,61,13,21,103,64,0,12,9,16,0,12,88,56,0,12,47,44,0,12,12,19,29,27,0,12,0,12
1500000US510131012001,510131012001,"Block Group 1, Census Tract 1012, Arlington County, Virginia",750,82,475,76,91,44,178,57,65,40,96,49,20,22,20,15,5,12,275,79,118,49,41,44,37,33,19,21,47,48,13,20,0,12
1500000US510131012002,510131012002,"Block Group 2, Census Tract 1012, Arlington County, Virginia",307,58,273,60,24,26,121,65,26,24,75,35,27,25,0,12,0,12,34,32,0,12,0,12,24,28,0,12,10,14,0,12,0,12
